channelId,title,viewCount,subscriberCount,videoCount
UC-Rx9HRmDoc5YmtcPOopmrA,Travel Beans,56971700,379000,618
UCME-uQDMlInGIFuC0-9ZrgQ,Budget food & travel,47666835,419000,259
UCYxsXxbjJO1YYa9yQ3lKC8w,Luxury Travel Expert,317070977,1330000,603
UCU2LTDwLnH6RZPnVWD2hLqA,Welcome to Travel,439813,6730,80
UCWUN23k_fPGFVYwVO7p-uWQ,Travel With Koushik,227152521,987000,553
UCWNjN-Ntmckg2w8TtflpfXA,STEP TO TRAVEL GOA,15833666,98600,637
UCTrwpTSNhisr32rXpPUACkw,SLICE Travel,11443458,84100,663
UCKuA6aa8NPPgCKqaSvBeX_g,AS with Travel,1695576,12800,229
UCrBPPGyR_7aOd882VpMRkRg,DREAM AND TRAVEL,38814795,201000,741
UCUJNWCiqMT_UudVRSSGZ3SA,Travel Alone Idea,254176810,1520000,30
UCTFz3noLGUS4vsuJvObRtuw,Traveling Mondays,46910833,587000,218
UCG-VB59t_VaVB7asdArTqdQ,Aditya's Travel Tales (Telugu),437883,1180,300
UCXMeQFZaNWnF7l8iHrLxxEQ,My Travel Support,116761738,531000,433
UCDa5_HJ3qPkDtbRmdlqBD3g,Kuga's Travel,100664154,458000,200
UCHKVXtT1YBCYUnnr4apqXfg,Travel Thirsty,3899849878,8150000,974
UCqo_tUOxG5ew4ghkSYw1hSQ,Travel with Mom,28511,86,47
UCwzfmK3YWOGPjrF0UDvzQ-Q,The New Travel,54349761,384000,450
UCLxAS02eWvfZK4icRNzWD_g,Music Travel Love,2375003642,5760000,110
UCBWVn5UkZqhQBdw1FHnGdpg,TARDY TRAVEL,29176079,104000,160
UCBElRVEL-H0eDYdL2mb1Sng,Travel with AK,242715656,1280000,311
UCrcHYfph5Q1owBdVp7-1LTg,Travel Alone India,3395427,17400,149
UCEZKpVw6ldXNVU4Ua6IFwTw,Travel Tips by Laurie,84441455,389000,580
UCBMjORco1vbZmC1cf_xnEmg,Fit and Travel,160289408,1520000,299
UCAzrrxH_Z3gJMcyq0D8ff8w,Offbeat Travel,2382625,12800,244
UCpjs8ca_snn1pWB4ZICRzvg,Travel With OTA EXPERT,86886467,481000,785
UCyT3tpNGGQRxQHZmr-muOfA,ViX Travel Films,11075276,53500,547
UC9ykRiM3WYAbsaUupoXsNSg,Travel Heart,9691402,68300,261
UCRoX4taJZz5R8fAQhysmIhw,Travel Forever : Вячеслав и Ирина Юмабаевы,30088136,164000,291
UCOcODf_C8dXo-sFDQHWXdAA,Travel Evergreen,17348529,49700,1131
UCPur06mx78RtwgHJzxpu2ew,Wind Walk Travel Videos ʬ,65440151,236000,621
UCUo7t7vYRnKCADziEey84fA,Travel Town Holidays ,38286,8590,46
UCmk6QS9q8xQvxHoup-5tQig,SUKIYAKI TRAVEL JAPAN,17273608,100000,127
UCpcEmGvsCgl1A4oA3n55-dg,Harish Bali Travels,39717781,184000,212
UCQwXtYkGD3T3LxBKhhn74nA,DustBugs Travel,16825219,53700,678
UCeoRAN5sr02w8_9aFWxIM4g,Tech Travel Eat by Sujith Bhakthan,793493099,2280000,2412
UC6mGGOrc7LEOm_WbaJGqOPA,Travel With SoMi,1142208,5150,349
UCkpm-wL7mUqPMTlFma8TOUg,Kamil - In Travel,101547539,586000,585
UC6n_HeL8xgWIQsKsWs4KO4w,TRACKS - Travel Documentaries,134368492,731000,820
UCuDdJRJ6qR-wGILbpq-FXCw,スーツ 旅行 / Suit Travel,426390561,1100000,708
UCpfXVjy3p5qfR_7EoKpQirQ,The Frustrated Gamer,1928131556,3350000,2885
UCbuhrs2MVHtt_iyGtfwWlxA,IJustWantToBeCool GAMING,113311388,219000,413
UC97XthQ7oIOfAWIGPoyFDYQ,Legends of Gaming NL,197906120,535000,820
UCcUx57h8_raPvjJ1JPriJIQ,DarkBlock Gaming,2824625,19400,184
UCdNSCQOvY6CNtMEB_Gan_IQ,Suggestive Gaming,108004853,410000,306
UCNL6sUET_O5MYNqESOIIBpw,CarbonFin Gaming,200695279,508000,2172
UCYGP_xER6wvSvWyk4CNOGNQ,The Clashers Gaming,76861744,264000,535
UCmlqW3C9C0_gA0LufzbHfKg,Legacy Gaming,134851481,495000,1981
UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,3620776510,8230000,3999
UC9PD3EIAA-vtGLZgYXG3q0A,Frostbite Gaming,3733646764,5430000,3348
UCo0NaLsgPT6JrQLQGecpMyw,G for Gaming,456680281,1200000,330
UC5S0zPiz9-zZJ6WTV3YfE9w,Dave Gaming,120022561,218000,6634
UCc3Sb5CGunxWqF5BSkJI3iA,Bruno&Joel Gaming,24238983,247000,28
UCv5gQgP_uGbJxImWVoUC_Ng,Onespot Gaming,1613508099,3560000,2967
UCvO9Xk3bheuxEemvknCj72g,WhatCulture Gaming,959192520,1710000,6614
UCzOOj0KTSVUWVHswnP4W6nw,GAMING INVESTIGATORS - HUBSON,22544636,95800,178
UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,9293330808,48900000,151
UCnbvPS_rXp4PC21PG2k1UVg,Gaming Historian,143989420,1090000,144
UCDBCCMlFD-hArPbWv38FINA,Daz Games,3087455722,9240000,1678
